PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
11 Com b                      , 15.464,       ,    323.2,0.238, 91.3,  0.0,  0.0,1091.8, 918.1, 856.6, 720.3,  7.683,  9.732, 17.703, 18.672
11 UMi b                      , 14.740,       ,    516.2,0.080, 90.0,  0.0,  0.0,1111.3, 934.5,1025.6, 862.5, 12.783, 16.192, 30.355, 32.018
14 And b                      ,  3.559,       ,    186.8,0.000,  0.0,  0.0,  0.0,1085.1, 912.4,1085.1, 912.4,  6.548,  8.294, 15.079, 15.904
16 Cyg B b                    ,  1.780,       ,    798.5,0.680, 90.0, 21.2, 29.2, 480.8, 404.3, 209.9, 176.5,  0.842,  1.066,  1.881,  1.984
17 Sco b                      ,  4.320,       ,    578.4,0.060, 57.0,  0.0,  0.0,1038.7, 873.4, 978.1, 822.5, 10.830, 13.717, 25.787, 27.199
18 Del b                      ,  9.207,       ,    982.8,0.024, 64.1,  0.0,  0.0, 545.7, 458.9, 532.7, 448.0,  5.142,  6.513, 11.797, 12.443
24 Boo b                      ,  0.883,       ,     30.3,0.032,180.8,  0.0,  0.0,2251.7,1893.5,2180.8,1833.8,  6.855,  8.683, 15.833, 16.699
24 Sex b                      ,  1.990,       ,    452.8,0.090,  9.2,  0.0,  0.0, 587.8, 494.2, 537.0, 451.6,  2.977,  3.771,  6.799,  7.171
24 Sex c                      ,  0.860,       ,    883.0,0.290,220.5,  0.0,  0.0, 532.7, 447.9, 395.2, 332.3,  2.977,  3.771,  6.799,  7.171
30 Ari B b                    , 13.820,       ,    335.1,0.290, 90.0,  0.0, 23.9, 514.1, 432.3, 381.4, 320.7,  1.229,  1.557,  2.712,  2.860
42 Dra b                      ,  3.880,       ,    479.1,0.380,218.7,  0.0,  0.0,1315.9,1106.5, 882.0, 741.7,  9.398, 11.905, 22.332, 23.555
47 UMa b                      ,  2.530,       ,   1078.0,0.032,334.0, 43.3,100.0, 260.3, 218.9, 252.1, 212.0,  0.937,  1.187,  2.088,  2.202
47 UMa c                      ,  0.540,       ,   2391.0,0.098,295.0,  0.0,  0.0, 206.0, 173.2, 186.7, 157.0,  0.937,  1.187,  2.088,  2.202
47 UMa d                      ,  1.640,       ,  14002.0,0.160,110.0,  0.0,  0.0, 118.9, 100.0, 101.2,  85.1,  0.937,  1.187,  2.088,  2.202
4 UMa b                       ,  7.902,       ,    270.3,0.453, 28.6,  0.0,  0.0,1555.3,1307.9, 954.3, 802.5,  8.483, 10.745, 19.949, 21.041
51 Peg b                      ,  0.472,       ,      4.2,0.013, 58.0,  0.0,  0.0,1570.9,1321.0,1550.6,1303.9,  0.879,  1.113,  1.965,  2.072
55 Cnc b                      ,  0.804,       ,     14.7,0.000,338.5,  0.0,  0.0, 855.1, 719.1, 855.1, 719.1,  0.587,  0.743,  1.337,  1.410
55 Cnc c                      ,  0.161,       ,     44.4,0.030,  2.4,  0.0,  0.0, 600.2, 504.7, 582.5, 489.8,  0.587,  0.743,  1.337,  1.410
55 Cnc d                      ,  3.120,       ,   5574.2,0.130,290.9,  0.0,  0.0, 126.5, 106.4, 111.0,  93.3,  0.587,  0.743,  1.337,  1.410
55 Cnc e                      ,  0.025,  0.167,      0.7,0.050, 86.0,  0.0,  0.0,2377.7,1999.4,2261.6,1901.8,  0.587,  0.743,  1.337,  1.410
55 Cnc f                      ,  0.150,       ,    259.9,0.080,262.4, 66.9,100.0, 342.0, 287.6, 315.6, 265.4,  0.587,  0.743,  1.337,  1.410
61 Vir b                      ,  0.016,       ,      4.2,0.120,105.0,  0.0,  0.0,1492.0,1254.7,1322.6,1112.1,  0.681,  0.862,  1.529,  1.613
61 Vir c                      ,  0.057,       ,     38.0,0.140,341.0,  0.0,  0.0, 725.1, 609.7, 629.8, 529.6,  0.681,  0.862,  1.529,  1.613
61 Vir d                      ,  0.072,       ,    123.0,0.350,314.0,  0.0,  0.0, 563.8, 474.1, 391.2, 329.0,  0.681,  0.862,  1.529,  1.613
6 Lyn b                       ,  1.881,       ,    919.9,0.042,121.0,  0.0,  0.0, 452.4, 380.5, 433.8, 364.8,  2.847,  3.606,  6.542,  6.900
70 Vir b                      ,  7.416,       ,    116.7,0.399,359.8,  0.0,  0.0, 805.5, 677.3, 528.1, 444.0,  1.305,  1.653,  2.939,  3.099
75 Cet b                      ,  2.479,       ,    696.6,0.093,202.4,  0.0,  0.0, 674.9, 567.5, 614.8, 516.9,  5.688,  7.204, 13.140, 13.860
75 Cet c                      ,  0.912,       ,   2051.6,0.023,123.0,  0.0,  0.0, 453.6, 381.4, 443.3, 372.8,  5.688,  7.204, 13.140, 13.860
7 CMa b                       ,  1.850,       ,    735.1,0.060,165.3,  0.0,  0.0, 475.0, 399.4, 447.3, 376.1,  2.683,  3.399,  6.195,  6.534
7 CMa c                       ,  0.870,       ,    996.0,0.080,233.5,  0.0,  0.0, 433.9, 364.8, 400.4, 336.7,  2.683,  3.399,  6.195,  6.534
81 Cet b                      ,  3.307,       ,   1005.6,0.037,193.3,  0.0,  0.0, 641.0, 539.0, 617.7, 519.4,  6.014,  7.618, 13.940, 14.703
8 UMi b                       ,  1.310,       ,     93.4,0.060, 90.0,  0.0,  0.0,1314.2,1105.1,1237.6,1040.7,  5.719,  7.244, 13.192, 13.915
91 Aqr b                      ,  3.200,       ,    181.4,0.027,177.3,  0.0,  0.0,1074.9, 903.9,1046.3, 879.8,  5.701,  7.221, 13.254, 13.980
AF Lep b                      ,  3.200,       ,   8030.0,0.240,210.0,  0.0,  0.0, 155.5, 130.8, 121.8, 102.4,  1.034,  1.309,  2.290,  2.416
alf Ari b                     ,  1.800,       ,    380.8,0.250, 89.2,  0.0,  0.0,1025.9, 862.7, 794.7, 668.2,  6.891,  8.729, 16.103, 16.984
alf Tau b                     ,  6.470,       ,    629.0,0.100,287.0,  0.0,  0.0,1362.1,1145.4,1232.1,1036.0, 18.000, 22.800, 43.077, 45.436
AU Mic b                      ,       ,  0.353,      8.5,0.006, 88.4,  0.0,  0.0, 717.4, 603.2, 713.2, 599.8,  0.247,  0.313,  0.602,  0.635
AU Mic c                      ,       ,  0.225,     18.9,0.003,223.3,  0.0,  0.0, 548.4, 461.1, 546.5, 459.6,  0.247,  0.313,  0.602,  0.635
AU Mic d                      ,  0.003,       ,     12.7,0.003,160.8,  0.0,  0.0, 625.0, 525.5, 623.1, 523.9,  0.247,  0.313,  0.602,  0.635
Barnard b                     ,  0.001,       ,      3.2,0.030,  3.8,  0.0,  0.0, 542.5, 456.2, 526.4, 442.7,  0.049,  0.062,  0.122,  0.129
Barnard c                     ,  0.001,       ,      4.1,0.080, 90.8,  0.0,  0.0, 509.2, 428.2, 470.0, 395.2,  0.049,  0.062,  0.122,  0.129
Barnard d                     ,  0.001,       ,      2.3,0.040,308.2,  0.0,  0.0, 601.8, 506.1, 578.2, 486.2,  0.049,  0.062,  0.122,  0.129
Barnard e                     ,  0.001,       ,      6.7,0.040,332.5,  0.0,  0.0, 422.8, 355.5, 406.2, 341.5,  0.049,  0.062,  0.122,  0.129
BD+03 2562 b                  ,  6.400,       ,    481.9,0.200,218.0,  0.0,  0.0,1536.8,1292.3,1254.8,1055.1, 18.118, 22.950, 43.273, 45.643
BD+05 4868 A b                ,  0.020,       ,      1.3,0.000, 90.0,  0.0,  0.0,1520.3,1278.4,1520.3,1278.4,  0.349,  0.442,  0.814,  0.859
BD-06 1339 b                  ,  0.027,       ,      3.9,0.000,  0.0,  0.0,  0.0, 889.0, 747.6, 889.0, 747.6,  0.248,  0.314,  0.586,  0.618
BD-06 1339 c                  ,  0.170,       ,    125.9,0.310, 41.0, 89.7,100.0, 335.7, 282.3, 243.6, 204.9,  0.248,  0.314,  0.586,  0.618
BD-08 2823 b                  ,  0.040,       ,      5.6,0.150, 90.0,  0.0,  0.0,1030.3, 866.4, 885.8, 744.8,  0.390,  0.494,  0.900,  0.949
BD-08 2823 c                  ,  0.330,       ,    237.6,0.190,127.0,  0.0, 62.1, 405.9, 341.3, 334.9, 281.6,  0.655,  0.830,  1.518,  1.601
BD-10 3166 b                  ,  0.590,       ,      3.5,0.020, 90.0,  0.0,  0.0,1489.8,1252.8,1460.3,1228.0,  0.609,  0.771,  1.375,  1.451
BD-11 4672 b                  ,  0.650,       ,   1634.0,0.050,343.9,  0.0,  0.0, 139.2, 117.1, 132.5, 111.4,  0.316,  0.401,  0.739,  0.780
BD-11 4672 c                  ,  0.048,       ,     74.2,0.400,245.9, 25.3, 58.3, 491.4, 413.2, 321.7, 270.5,  0.316,  0.401,  0.739,  0.780
BD-13 2130 b                  ,  9.780,       ,    714.3,0.210, 90.0,  0.0,  0.0, 996.3, 837.8, 805.1, 677.0,  9.474, 12.000, 22.144, 23.357
BD-14 3065 b                  , 12.370,  1.926,      4.3,0.066, 54.0,  0.0,  0.0,2463.2,2071.3,2305.7,1938.8,  2.378,  3.012,  5.206,  5.491
BD+14 4559 b                  ,  1.040,       ,    268.9,0.290, 90.0, 83.3,100.0, 347.5, 292.2, 257.8, 216.8,  0.481,  0.609,  1.108,  1.168
BD+15 2375 b                  ,  1.061,       ,    153.2,0.001, 55.0,  0.0,  0.0,1078.0, 906.5,1077.0, 905.6,  4.848,  6.140, 11.278, 11.896
BD+15 2940 b                  ,  1.110,       ,    137.5,0.260,302.0,  0.0,  0.0,1668.1,1402.7,1278.4,1075.0,  7.997, 10.129, 18.486, 19.498
BD+20 2457 b                  , 21.420,       ,    379.6,0.150,207.6,  0.0,  0.0,1850.3,1555.9,1590.7,1337.6, 31.093, 39.384, 74.109, 78.167
BD+20 2457 c                  , 12.470,       ,    622.0,0.180,126.0,  0.0,  0.0,1600.0,1345.5,1333.8,1121.6, 31.093, 39.384, 74.109, 78.167
BD+20 274 b                   ,  4.200,       ,    578.2,0.210,108.5,  0.0,  0.0,1010.1, 849.4, 816.1, 686.3,  7.687,  9.737, 18.181, 19.176
BD+20 594 b                   ,  0.070,  0.230,     41.7,0.000, 90.0,  0.0,  0.0, 650.3, 546.8, 650.3, 546.8,  0.808,  1.023,  1.805,  1.904
BD-210397 b                   ,  0.700,       ,   1891.0,0.100,305.0,  0.0,  0.0, 130.5, 109.7, 118.0,  99.3,  0.298,  0.377,  0.712,  0.752
BD+45 564 b                   ,  1.360,       ,    307.9,0.120, 70.3, 43.7,100.0, 360.9, 303.5, 319.9, 269.0,  0.679,  0.860,  1.557,  1.642
BD+48 738 b                   ,  0.910,       ,    392.6,0.200,358.9,  0.0,  0.0, 979.7, 823.8, 799.9, 672.6,  5.613,  7.110, 13.200, 13.923
BD+48 740 b                   ,  1.700,       ,    733.0,0.760,100.0,  0.0,  0.0,1332.9,1120.8, 492.2, 413.9,  5.277,  6.684, 12.342, 13.017
BD+49 828 b                   ,  1.600,       ,   2590.0,0.350,170.0, 25.9, 59.7, 467.2, 392.9, 324.2, 272.6,  4.267,  5.404,  9.802, 10.339
BD+55 362 b                   ,  0.720,       ,    265.6,0.270,225.6,  0.0, 49.3, 454.2, 381.9, 344.3, 289.6,  0.838,  1.061,  1.920,  2.025
BD+63 1405 b                  ,  3.960,       ,   1198.5,0.880, 94.2,  8.6, 11.4, 628.3, 528.3, 158.7, 133.5,  0.697,  0.882,  1.597,  1.684
bet Cnc b                     ,  7.800,       ,    605.2,0.080, 58.9,  0.0,  0.0,1406.1,1182.4,1297.8,1091.3, 22.811, 28.894, 54.490, 57.473
bet UMi b                     ,  6.100,       ,    522.3,0.190,307.4,  0.0,  0.0,1497.4,1259.1,1235.4,1038.8, 18.741, 23.738, 44.691, 47.139
CD Cet b                      ,  0.012,       ,      2.3,0.000, 90.0,  0.0,  0.0, 566.8, 476.6, 566.8, 476.6,  0.044,  0.056,  0.111,  0.118
CFBDSIR J145829+101343 b      , 10.500,       ,  10037.5,0.000, 90.0,  0.0,  0.0,   6.7,   5.6,   6.7,   5.6,  0.001,  0.001,  0.003,  0.003
CFHTWIR-Oph 98 b              ,  7.800,  1.860,8040000.0,0.000, 90.0,  0.0,  0.0,   4.5,   3.8,   4.5,   3.8,  0.031,  0.040,  0.081,  0.085
CoRoT-10 b                    ,  2.750,  0.970,     13.2,0.530,218.9,  0.0,  0.0,1161.5, 976.7, 643.7, 541.3,  0.476,  0.603,  1.087,  1.147
CoRoT-11 b                    ,  2.330,  1.430,      3.0,0.000, 90.0,  0.0,  0.0,2069.8,1740.5,2069.8,1740.5,  1.228,  1.555,  2.704,  2.852
CoRoT-12 b                    ,  0.917,  1.440,      2.8,0.070,105.0,  0.0,  0.0,1778.6,1495.7,1658.2,1394.4,  0.813,  1.030,  1.822,  1.921
CoRoT-13 b                    ,  1.308,  0.885,      4.0,0.000, 90.0,  0.0,  0.0,1516.9,1275.6,1516.9,1275.6,  0.795,  1.006,  1.767,  1.864
CoRoT-14 b                    ,  7.600,  1.090,      1.5,0.000, 90.0,  0.0,  0.0,2316.4,1947.9,2316.4,1947.9,  0.976,  1.236,  2.166,  2.284
CoRoT-16 b                    ,  0.535,  1.170,      5.4,0.330,168.4,  0.0,  0.0,1736.7,1460.4,1232.6,1036.5,  0.861,  1.090,  1.929,  2.035
CoRoT-17 b                    ,  2.430,  1.020,      3.8,0.000,  0.0,  0.0,  0.0,1932.8,1625.3,1932.8,1625.3,  1.181,  1.495,  2.640,  2.785
CoRoT-18 b                    ,  3.470,  1.310,      1.9,0.080, 90.0,  0.0,  0.0,1893.3,1592.1,1747.4,1469.4,  0.679,  0.860,  1.531,  1.615
CoRoT-19 b                    ,  1.110,  1.290,      3.9,0.047, 90.0,  0.0,  0.0,2039.0,1714.6,1945.3,1635.8,  1.378,  1.745,  3.054,  3.221
CoRoT-1 b                     ,  1.030,  1.490,      1.5,0.000, 90.0,  0.0,  0.0,2259.3,1899.8,2259.3,1899.8,  0.874,  1.108,  1.945,  2.051
CoRoT-21 b                    ,  2.260,  1.300,      2.7,0.000, 90.0,  0.0,  0.0,2430.9,2044.1,2430.9,2044.1,  1.643,  2.081,  3.634,  3.833
CoRoT-22 b                    ,  0.038,  0.435,      9.8,0.077,210.0,  0.0,  0.0,1245.5,1047.3,1153.0, 969.6,  0.892,  1.130,  1.985,  2.094
CoRoT-23 b                    ,  2.800,  1.050,      3.6,0.160, 52.0,  0.0,  0.0,2137.6,1797.5,1819.0,1529.6,  1.251,  1.585,  2.786,  2.938
CoRoT-24 b                    ,  0.018,  0.330,      5.1,0.000, 90.0,  0.0,  0.0,1112.2, 935.3,1112.2, 935.3,  0.496,  0.628,  1.139,  1.201
CoRoT-24 c                    ,  0.088,  0.440,     11.8,0.000, 90.0,  0.0,  0.0, 840.8, 707.0, 840.8, 707.0,  0.496,  0.628,  1.139,  1.201
CoRoT-25 b                    ,  0.270,  1.080,      4.9,0.000, 90.0,  0.0,  0.0,1571.4,1321.3,1571.4,1321.3,  0.961,  1.217,  2.132,  2.249
CoRoT-26 b                    ,  0.520,  1.260,      4.2,0.000, 90.0,  0.0,  0.0,1869.7,1572.2,1869.7,1572.2,  1.272,  1.611,  2.856,  3.012
CoRoT-27 b                    , 10.390,  1.007,      3.6,0.065, 90.0,  0.0,  0.0,1666.4,1401.3,1561.4,1313.0,  0.839,  1.063,  1.869,  1.971
CoRoT-28 b                    ,  0.484,  0.955,      5.2,0.047,126.0,  0.0,  0.0,1643.4,1381.9,1567.9,1318.4,  1.100,  1.393,  2.507,  2.644
CoRoT-29 b                    ,  0.850,  0.900,      2.9,0.082, 87.0,  0.0,  0.0,1519.9,1278.1,1400.0,1177.3,  0.577,  0.731,  1.309,  1.381
CoRoT-2 b                     ,  3.470,  1.466,      1.7,0.014,102.0,  0.0,  0.0,1848.5,1554.4,1822.2,1532.3,  0.651,  0.824,  1.459,  1.539
CoRoT-30 b                    ,  2.900,  1.009,      9.1,0.007,178.1,  0.0,  0.0,1067.5, 897.6,1060.0, 891.4,  0.658,  0.834,  1.475,  1.556
CoRoT-31 b                    ,  0.840,  1.460,      4.6,0.020,303.6,  0.0,  0.0,1999.7,1681.5,1960.1,1648.2,  1.578,  1.999,  3.533,  3.726
CoRoT-35 b                    ,  1.100,  1.680,      3.2,0.000, 90.0,  0.0,  0.0,2272.2,1910.7,2272.2,1910.7,  1.460,  1.849,  3.218,  3.394
CoRoT-36 b                    ,  0.680,  1.410,      5.6,0.000, 90.0,  0.0,  0.0,1851.8,1557.2,1851.8,1557.2,  1.463,  1.853,  3.210,  3.386
CoRoT-3 b                     , 21.660,  1.010,      4.3,0.000, 90.0,  0.0,  0.0,2020.1,1698.7,2020.1,1698.7,  1.505,  1.907,  3.302,  3.483
CoRoT-4 b                     ,  0.720,  1.190,      9.2,0.000, 90.0,  0.0,  0.0,1279.6,1076.1,1279.6,1076.1,  0.983,  1.245,  2.175,  2.294
CoRoT-5 b                     ,  0.467,  1.388,      4.0,0.090,231.7,  0.0,  0.0,1795.2,1509.6,1640.3,1379.3,  0.973,  1.233,  2.157,  2.275
CoRoT-6 b                     ,  2.960,  1.166,      8.9,0.100, 90.0,  0.0,  0.0,1274.4,1071.6,1152.7, 969.3,  0.839,  1.062,  1.860,  1.961
CoRoT-7 b                     ,  0.013,  0.150,      0.9,0.000, 90.0,  0.0,  0.0,2146.2,1804.8,2146.2,1804.8,  0.535,  0.677,  1.213,  1.279
CoRoT-7 c                     ,  0.026,       ,      3.7,0.000,180.0,  0.0,  0.0,1307.4,1099.4,1307.4,1099.4,  0.554,  0.702,  1.258,  1.327
CoRoT-8 b                     ,  0.220,  0.570,      6.2,0.000, 90.0,  0.0,  0.0,1018.3, 856.3,1018.3, 856.3,  0.465,  0.588,  1.062,  1.120
CoRoT-9 b                     ,  0.840,  1.066,     95.3,0.133, 41.0,  0.0,  0.0, 535.2, 450.0, 468.2, 393.7,  0.689,  0.873,  1.546,  1.631
CoRoTID 223977153 b           ,  0.150,  0.570,      6.7,0.000, 90.0,  0.0,  0.0,1137.0, 956.1,1137.0, 956.1,  0.621,  0.786,  1.380,  1.455
DMPP-1 b                      ,  0.076,       ,     18.6,0.083, 90.0,  0.0,  0.0,1089.1, 915.8,1002.2, 842.7,  1.060,  1.343,  2.346,  2.474
DMPP-1 c                      ,  0.030,       ,      6.6,0.057, 90.0,  0.0,  0.0,1516.8,1275.4,1432.6,1204.7,  1.060,  1.343,  2.346,  2.474
DMPP-1 d                      ,  0.011,       ,      2.9,0.070, 90.0,  0.0,  0.0,2012.9,1692.7,1876.6,1578.0,  1.060,  1.343,  2.346,  2.474
DMPP-1 e                      ,  0.013,       ,      5.5,0.070, 90.0,  0.0,  0.0,1620.7,1362.8,1510.9,1270.5,  1.060,  1.343,  2.346,  2.474
DMPP-2 b                      ,  0.437,       ,      5.2,0.078, 90.0,  0.0,  0.0,1421.1,1195.0,1314.3,1105.2,  0.810,  1.026,  1.782,  1.879
DMPP-3 A b                    ,  0.008,       ,      6.7,0.140, 80.6,  0.0,  0.0,1177.8, 990.4,1023.0, 860.2,  0.560,  0.709,  1.277,  1.347
DMPP-4 b                      ,  0.038,       ,      3.5,0.063,200.0,  0.0,  0.0,2023.5,1701.6,1899.8,1597.5,  1.226,  1.553,  2.703,  2.851
DS Tuc A b                    ,       ,  0.509,      8.1,0.000, 90.0,  0.0,  0.0,1084.4, 911.9,1084.4, 911.9,  0.652,  0.826,  1.472,  1.553
EPIC 201170410.02             ,       ,  0.093,      6.8,0.000, 90.0,  0.0,  0.0, 594.6, 500.0, 594.6, 500.0,  0.092,  0.116,  0.224,  0.236
EPIC 201595106 b              ,  0.024,  0.140,      0.9,0.000,  0.0,  0.0,  0.0,2420.2,2035.2,2420.2,2035.2,  0.713,  0.904,  1.598,  1.685
EPIC 201757695.02             ,       ,  0.081,      2.0,0.000, 90.0,  0.0,  0.0,1561.7,1313.3,1561.7,1313.3,  0.526,  0.666,  1.231,  1.298
EPIC 201841433 b              ,       ,  0.093,      4.2,0.000, 90.0,  0.0,  0.0,1227.7,1032.3,1227.7,1032.3,  0.376,  0.476,  0.859,  0.906
EPIC 205950854 c              ,       ,  0.117,      8.1,0.000, 90.0,  0.0,  0.0,1047.9, 881.1,1047.9, 881.1,  0.574,  0.728,  1.293,  1.364
EPIC 206317286 c              ,       ,  0.187,     17.5,0.000, 90.0,  0.0,  0.0, 673.3, 566.1, 673.3, 566.1,  0.406,  0.515,  0.941,  0.992
EPIC 211822797 b              ,       ,  0.171,     21.2,0.000, 90.0,  0.0,  0.0, 512.5, 430.9, 512.5, 430.9,  0.232,  0.293,  0.554,  0.585
EPIC 211945201 b              ,       ,  0.514,     19.5,0.000, 90.0,  0.0,  0.0,1061.8, 892.8,1061.8, 892.8,  1.131,  1.433,  2.509,  2.646
EPIC 212297394 b              ,       ,  0.132,      2.3,0.000, 90.0,  0.0,  0.0,1483.7,1247.6,1483.7,1247.6,  0.498,  0.631,  1.134,  1.196
EPIC 212297394 c              ,       ,  0.203,      5.2,0.000, 90.0,  0.0,  0.0,1127.7, 948.3,1127.7, 948.3,  0.498,  0.631,  1.134,  1.196
EPIC 212587672 b              ,       ,  0.112,     15.3,0.000, 90.0,  0.0,  0.0, 983.3, 826.9, 983.3, 826.9,  0.784,  0.992,  1.741,  1.836
EPIC 212587672 c              ,       ,  0.207,     23.2,0.000, 90.0,  0.0,  0.0, 855.2, 719.1, 855.2, 719.1,  0.784,  0.992,  1.741,  1.836
EPIC 212737443 b              ,       ,  0.231,     13.6,0.200, 90.0,  0.0,  0.0, 786.9, 661.7, 642.5, 540.2,  0.351,  0.445,  0.816,  0.861
EPIC 212737443 c              ,       ,  0.240,     65.6,0.200, 90.0,  0.0,  0.0, 465.5, 391.4, 380.1, 319.6,  0.351,  0.445,  0.816,  0.861
EPIC 220674823 b              ,  0.025,  0.150,      0.6,0.000, 90.0,  0.0,  0.0,2776.0,2334.4,2776.0,2334.4,  0.701,  0.888,  1.575,  1.661
EPIC 220674823 c              ,  0.023,  0.253,     13.3,0.170, 90.0,  0.0,  0.0,1066.3, 896.7, 898.1, 755.2,  0.701,  0.888,  1.575,  1.661
EPIC 229004835 b              ,  0.033,  0.208,     16.1,0.230, 90.0,  0.0,  0.0,1089.6, 916.2, 862.1, 724.9,  0.769,  0.974,  1.714,  1.808
EPIC 246851721 b              ,  3.000,  1.051,      6.2,0.000, 90.0,  0.0,  0.0,1667.9,1402.6,1667.9,1402.6,  1.341,  1.698,  2.965,  3.128
EPIC 248847494 b              , 13.000,  1.110,   3650.0,0.000, 90.0,  0.0,  0.0, 217.5, 182.9, 217.5, 182.9,  1.527,  1.935,  3.516,  3.708
EPIC 249893012 b              ,  0.028,  0.174,      3.6,0.060,225.0,  0.0,  0.0,1936.9,1628.8,1824.0,1533.8,  1.157,  1.466,  2.611,  2.754
EPIC 249893012 c              ,  0.046,  0.327,     15.6,0.070,217.0,  0.0,  0.0,1170.9, 984.6,1091.6, 917.9,  1.157,  1.466,  2.611,  2.754
EPIC 249893012 d              ,  0.032,  0.352,     35.7,0.150,181.0,  0.0,  0.0, 941.5, 791.7, 809.4, 680.6,  1.157,  1.466,  2.611,  2.754
eps CrB b                     ,  6.700,       ,    417.9,0.110,133.1,  0.0,  0.0,1076.3, 905.0, 963.7, 810.4,  9.799, 12.412, 23.055, 24.317
eps Tau b                     ,  7.190,       ,    585.8,0.076,107.9,  0.0,  0.0, 747.5, 628.6, 692.7, 582.5,  6.962,  8.818, 16.039, 16.917
G 264-012 b                   ,  0.008,       ,      2.3,0.000, 90.0,  0.0,  0.0, 705.0, 592.8, 705.0, 592.8,  0.085,  0.107,  0.210,  0.221
G 264-012 c                   ,  0.012,       ,      8.1,0.000, 90.0,  0.0,  0.0, 464.5, 390.6, 464.5, 390.6,  0.085,  0.107,  0.210,  0.221
G 9-40 b                      ,  0.013,  0.170,      5.7,0.000, 90.0,  0.0,  0.0, 524.2, 440.8, 524.2, 440.8,  0.086,  0.109,  0.212,  0.224
Gaia-1 b                      ,  1.680,  1.229,      3.1,0.000, 90.0,  0.0,  0.0,1521.1,1279.1,1521.1,1279.1,  0.652,  0.826,  1.470,  1.550
Gaia-2 b                      ,  0.817,  1.322,      3.7,0.000, 90.0,  0.0,  0.0,1565.4,1316.4,1565.4,1316.4,  0.786,  0.995,  1.757,  1.854
Gaia-4 b                      , 11.800,       ,    571.3,0.338,180.3,  0.0,  0.0, 212.3, 178.5, 149.3, 125.6,  0.256,  0.325,  0.614,  0.648
Gaia-5 b                      , 20.870,       ,    358.6,0.642,271.5,  0.5,  2.9, 233.3, 196.1, 108.9,  91.5,  0.100,  0.127,  0.247,  0.260
gam1 Leo b                    ,  8.780,       ,    428.5,0.144,206.7,  0.0,  0.0,1388.9,1167.9,1201.4,1010.3, 14.402, 18.242, 34.006, 35.868
gam Cep b                     ,  6.600,       ,    913.0,0.150, 49.0,  0.0,  0.0, 457.8, 384.9, 393.6, 331.0,  2.562,  3.246,  5.928,  6.253
gam Lib b                     ,  1.126,       ,    414.9,0.160,190.3,  0.0,  0.0, 938.0, 788.7, 798.2, 671.2,  6.998,  8.864, 16.121, 17.004
gam Lib c                     ,  5.231,       ,    966.5,0.065,152.6,  0.0,  0.0, 670.6, 563.9, 628.4, 528.4,  6.998,  8.864, 16.121, 17.004
gam Psc b                     ,  1.340,       ,    555.1,0.204, 44.0,  0.0,  0.0, 893.3, 751.2, 726.4, 610.8,  6.056,  7.670, 14.031, 14.799
GJ 1002 b                     ,  0.003,       ,     10.3,0.000, 90.0,100.0,100.0, 300.0, 252.3, 300.0, 252.3,  0.031,  0.039,  0.078,  0.082
GJ 1002 c                     ,  0.004,       ,     21.2,0.000, 90.0,100.0,100.0, 236.1, 198.5, 236.1, 198.5,  0.031,  0.039,  0.078,  0.082
GJ 1061 b                     ,  0.004,       ,      3.2,0.310,145.0,  0.0,  0.0, 558.7, 469.8, 405.5, 341.0,  0.034,  0.043,  0.086,  0.090
GJ 1061 c                     ,  0.005,       ,      6.7,0.290, 88.0, 27.1, 62.5, 426.7, 358.8, 316.5, 266.2,  0.034,  0.043,  0.086,  0.090
GJ 1061 d                     ,  0.005,       ,     13.0,0.530,157.0, 78.1, 86.7, 422.2, 355.0, 234.0, 196.8,  0.034,  0.043,  0.086,  0.090
GJ 1132 b                     ,  0.006,  0.106,      1.6,0.012,264.2,  0.0,  0.0, 698.9, 587.7, 690.7, 580.8,  0.057,  0.072,  0.141,  0.149
GJ 1132 c                     ,  0.008,       ,      8.9,0.270, 90.0,  0.0, 39.9, 457.1, 384.4, 346.6, 291.4,  0.054,  0.069,  0.135,  0.142
GJ 1148 b                     ,  0.304,       ,     41.4,0.380,258.1, 83.9,100.0, 352.1, 296.0, 236.0, 198.4,  0.095,  0.121,  0.237,  0.250
GJ 1148 c                     ,  0.214,       ,    532.6,0.342,210.4,  0.0,  0.0, 145.8, 122.6, 102.1,  85.8,  0.095,  0.121,  0.237,  0.250
GJ 1151 c                     ,  0.033,       ,    389.7,0.000, 90.0,  0.0,  0.0, 105.1,  88.4, 105.1,  88.4,  0.047,  0.060,  0.117,  0.124
GJ 1214 b                     ,  0.026,  0.244,      1.6,0.006, 77.0,  0.0,  0.0, 676.8, 569.1, 672.6, 565.6,  0.051,  0.065,  0.129,  0.136
GJ 1252 b                     ,  0.004,  0.106,      0.5,0.000, 90.0,  0.0,  0.0,1295.4,1089.3,1295.4,1089.3,  0.115,  0.145,  0.282,  0.298
GJ 1265 b                     ,  0.023,       ,      3.7,0.040,282.0,  0.0,  0.0, 515.0, 433.0, 494.8, 416.0,  0.049,  0.063,  0.123,  0.130
GJ 143 b                      ,  0.071,  0.233,     35.6,0.188, 98.0,  0.0,  0.0, 565.9, 475.8, 467.8, 393.4,  0.361,  0.457,  0.840,  0.886
