PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
TOI-5082.01                   ,       ,  0.227,      4.2,0.000, 90.0,  0.0,  0.0,1385.5,1165.0,1385.5,1165.0,  0.677,  0.857,  1.516,  1.599
TOI-5108 b                    ,  0.101,  0.589,      6.8,0.000, 90.0,  0.0,  0.0,1399.9,1177.1,1399.9,1177.1,  0.977,  1.237,  2.180,  2.299
TOI-5110 b                    ,  2.900,  1.069,     30.2,0.745, 92.2,  0.0,  0.0,2299.7,1933.8, 879.1, 739.2,  1.944,  2.462,  4.304,  4.540
TOI-5126 b                    ,       ,  0.423,      5.5,0.000,  0.0,  0.0,  0.0,1540.8,1295.7,1540.8,1295.7,  1.035,  1.311,  2.292,  2.417
TOI-5126 c                    ,       ,  0.344,     17.9,0.000,  0.0,  0.0,  0.0,1037.1, 872.1,1037.1, 872.1,  1.035,  1.311,  2.292,  2.417
TOI-512 b                     ,  0.011,  0.137,      7.2,0.020,306.0,  0.0,  0.0,1123.9, 945.1,1101.6, 926.4,  0.575,  0.728,  1.303,  1.375
TOI-5143 c                    ,       ,  1.450,      5.2,0.000, 90.0,  0.0,  0.0,1158.9, 974.5,1158.9, 974.5,  0.532,  0.674,  1.212,  1.278
TOI-5153 b                    ,  3.260,  1.060,     20.3,0.091,144.0,  0.0,  0.0,1127.8, 948.3,1029.4, 865.6,  1.211,  1.533,  2.673,  2.819
TOI-5174 b                    ,       ,  0.477,     12.2,0.000, 90.0,  0.0,  0.0,1051.7, 884.4,1051.7, 884.4,  0.792,  1.003,  1.775,  1.872
TOI-519 b                     ,  0.463,  1.030,      1.3,0.330, 90.0,  0.0,  0.0,1105.9, 929.9, 784.9, 660.0,  0.097,  0.123,  0.242,  0.255
TOI-5205 b                    ,  1.080,  1.030,      1.6,0.020,318.0,  0.0,  0.0, 885.2, 744.4, 867.7, 729.6,  0.114,  0.144,  0.281,  0.297
TOI-5218 b                    ,  2.067,  0.879,      4.3,0.000, 90.0,  0.0,  0.0, 951.8, 800.4, 951.8, 800.4,  0.312,  0.396,  0.741,  0.782
TOI-5232 b                    ,  2.340,  1.140,      4.1,0.035, 46.0,  0.0,  0.0,2148.9,1807.0,2074.9,1744.8,  1.632,  2.067,  3.592,  3.788
TOI-5238 b                    ,       ,  0.466,      4.9,0.000, 90.0,  0.0,  0.0,1378.0,1158.8,1378.0,1158.8,  0.737,  0.933,  1.653,  1.743
TOI-5293 A b                  ,  0.540,  1.060,      2.9,0.380,268.0,  0.0,  0.0,1021.2, 858.7, 684.5, 575.6,  0.164,  0.207,  0.401,  0.423
